State_Name,Avg_Salary
Alabama,53612.92585551332
Alaska,77670.2095238095
Arizona,62578.071312803841
Arkansas,52060.361764705856
California,78126.737804878139
Colorado,73322.821292775639
Connecticut,89227.2197183099
Florida,60887.889825406382
Georgia,60354.391198044112
Hawaii,77859.586956521729
Idaho,56211.442953020116
Illinois,69067.381551362647
Indiana,59153.832386363676
Iowa,62569.145374449334
Kansas,61704.818897637793
Kentucky,55250.162977867192
Louisiana,55432.264187866953
Maine,60708.522292993621
Maryland,87689.604095563191
Massachusetts,84878.68358208955
Michigan,59001.124361158421
Minnesota,71403.998439937524
Mississippi,48924.0031152648
Missouri,56674.8828571429
Montana,57350.554054054046
Nevada,65684.120754716947
New Hampshire,76113.503816793891
New Jersey,88657.644144144171
New Mexico,57127.074999999953
New York,76201.220833333326
North Carolina,57750.104918032768
North Dakota,65137.067226890744
Ohio,59675.86360266868
Oklahoma,55121.331249999988
Oregon,63597.049095607239
Pennsylvania,64878.694915254229
Rhode Island,72971.174311926588
South Carolina,55715.248366013016
South Dakota,58276.960937500007
Tennessee,56271.952459016393
Texas,65407.010434782576
Utah,72132.21455938695
Vermont,63195.493975903628
Virginia,79401.7401273885
Washington,74067.361918604613
West Virginia,52291.995967741961
Wisconsin,64143.255192878343
Wyoming,67552.666666666642
Nebraska,61719.385454545467
Delaware,70142.340909090926
District of Columbia,90668.421875
Puerto Rico,27255.576315789469